# Day libxc c python test doc
732637 0 6498 14564 1652 0
732638 0 6498 14564 1652 0
732639 0 6498 14564 1652 0
732640 0 6498 14564 1652 0
732641 0 6498 14564 1652 0
732642 0 6498 14564 1652 0
732643 0 6498 14564 1652 0
732644 0 6498 14563 1652 0
732645 0 6498 14570 1652 0
732646 0 6498 14570 1652 0
732647 0 6414 14608 1755 0
732648 0 6414 14608 1755 0
732649 0 6414 14608 1755 0
732650 0 6414 14608 1755 0
732651 0 6414 14667 1777 0
732652 0 6414 14658 1777 0
732653 0 6414 14658 1777 0
732654 0 6414 14673 1777 0
732655 0 6414 14673 1777 0
732656 0 6414 14673 1777 0
732657 0 6414 14693 1815 0
732658 0 6414 14770 1815 0
732659 0 6414 14770 1815 0
732660 0 6420 15008 1815 0
732661 0 6420 14896 1815 0
732662 0 6420 14896 1815 0
732663 0 6420 14896 1815 0
732664 0 6420 14896 1815 0
732665 0 6420 14896 1815 0
732666 0 6418 15611 1815 0
732667 0 6709 15689 1815 0
732668 0 6709 15732 1815 0
732669 0 6709 15732 1815 0
732670 0 6709 15732 1815 0
732671 0 6709 15732 1815 0
732672 0 6709 15732 1815 0
732673 0 6709 15732 1815 0
732674 0 6709 15732 1815 0
732675 0 6709 15732 1815 0
732676 0 6709 15732 1815 0
732677 0 6709 15732 1815 0
732678 0 6709 15732 1815 0
732679 0 6709 15744 1815 0
732680 0 6709 15744 1815 0
732681 0 6709 15778 1815 0
732682 0 6715 15774 1815 0
732683 0 6715 15774 1815 0
732684 0 6715 15774 1815 0
732685 0 6715 16042 1893 0
732686 0 6736 16236 1815 0
732687 0 6743 16374 1815 0
732688 0 6743 16586 1854 0
732689 0 6743 16586 1854 0
732690 0 6743 16586 1854 0
732691 0 6743 16586 1854 0
732692 0 6743 16579 1854 0
732693 0 6743 16579 1854 0
732694 0 6743 16579 1854 0
732695 0 6743 16579 1854 0
732696 0 6743 16579 1854 0
732697 0 6743 16579 1854 0
732698 0 6743 16579 1854 0
732699 0 6743 16579 1854 0
732700 0 6743 16760 1853 0
732701 0 6981 16764 1922 0
732702 0 6995 16764 1922 0
732703 0 6995 16764 1922 0
732704 0 6995 16764 1922 0
732705 0 6995 16764 1922 0
732706 0 6995 16720 1922 0
732707 0 6995 16720 1922 0
732708 0 6995 16720 1922 0
732709 0 6995 16720 1922 0
732710 0 6995 16715 1922 0
732711 0 6995 16715 1922 0
732712 0 6995 16715 1922 0
732713 0 6995 16715 1922 0
732714 0 6995 16715 1922 0
732715 0 6995 16715 1922 0
732716 0 6995 16758 1922 0
732717 0 6995 16758 1922 0
732718 0 6995 16758 1922 0
732719 0 6995 16758 1922 0
732720 0 6995 16758 1922 0
732721 0 6995 16758 1922 0
732722 0 6995 16757 1922 0
732723 0 6995 16757 1922 0
732724 0 6995 16757 1922 0
732725 0 6995 16757 1922 0
732726 0 6995 16757 1922 0
732727 0 6995 16922 1922 0
732728 0 6995 16932 1922 0
732729 0 6995 16976 1922 0
732730 0 6995 16976 1922 0
732731 0 6995 16976 1922 0
732732 0 6995 16976 1922 0
732733 0 6995 16976 1922 0
732734 0 6995 16976 1922 0
732735 0 6995 16976 1922 0
732736 0 6995 17066 1922 0
732737 0 6995 17066 1922 0
732738 0 6995 17298 1922 0
732739 0 6995 17298 1922 0
732740 0 6995 17298 1922 0
732741 0 6995 17115 1922 0
732742 0 6995 17115 1905 0
732743 0 6995 17123 1905 0
732744 0 6995 17123 1905 0
732745 0 6995 17123 1905 0
732746 0 6995 17123 1905 0
732747 0 6995 17123 1905 0
732748 0 6996 17123 1905 0
732749 0 6996 17123 1905 0
732750 0 6996 17123 1905 0
732751 0 6996 17148 1905 0
732752 0 6996 17170 1905 0
732753 0 6996 17170 1905 0
732754 0 6996 17170 1905 0
732755 0 6996 17170 1905 0
732756 0 6996 17222 1905 0
732757 0 6996 17243 1905 0
732758 0 6996 17159 1905 0
732759 0 6996 17196 2000 0
732760 0 6996 17196 2000 0
732761 0 6996 17196 2000 0
732762 0 6996 17200 2000 0
732763 0 6996 17200 2010 0
732764 0 6996 17200 2010 0
732765 0 6996 17137 2055 0
732766 0 6996 17212 2055 0
732767 0 6996 17212 2055 0
732768 0 6996 17212 2055 0
732769 0 6996 17212 2055 0
732770 0 7023 17212 2055 0
732771 0 7023 17198 2055 0
732772 0 7023 17238 2055 0
732773 0 7023 17238 2055 0
732774 0 7023 17238 2055 0
732775 0 7023 17238 2055 0
732776 0 7023 17238 2055 0
732777 0 7023 17238 2055 0
732778 0 7023 17238 2055 0
732779 0 7023 17706 2055 0
732780 0 7023 17802 2055 0
732781 0 7023 17802 2055 0
732782 0 7023 17802 2055 0
732783 0 7023 17853 2071 0
732784 0 7023 17853 2071 0
732785 0 7023 17853 2071 0
732786 0 7023 17960 2097 0
732787 0 7023 17984 2097 0
732788 0 7023 17984 2097 0
732789 0 7023 17984 2097 0
732790 0 7023 17984 2097 0
732791 0 7023 17982 2124 0
732792 0 7023 18024 2124 0
732793 0 7023 18026 2124 0
732794 0 7023 18026 2124 0
732795 0 7023 18026 2124 0
732796 0 7023 18026 2124 0
732797 0 7023 19133 2124 0
732798 0 7023 19133 2124 0
732799 0 7023 19223 2124 0
732800 0 7023 21320 2124 0
732801 0 7023 20357 2124 0
732802 0 7023 20357 2124 0
732803 0 7023 20357 2124 0
732804 0 7023 20379 2220 0
732805 0 7023 20439 2243 0
732806 0 7023 20442 2243 0
732807 0 7023 20442 2243 0
732808 0 7052 20463 2243 0
732809 0 7052 20463 2243 0
732810 0 7052 20463 2243 0
732811 0 7052 20462 2243 0
732812 0 7052 20462 2243 0
732813 0 7052 20462 2243 0
732814 0 7052 20462 2243 0
732815 0 7052 20462 2243 0
732816 0 7052 20462 2243 0
732817 0 7052 20462 2243 0
732818 0 7052 20481 2243 0
732819 0 7052 20481 2243 0
732820 0 7052 20481 2243 0
732821 0 7052 20772 2245 0
732822 0 7052 20823 2290 0
732823 0 7052 20823 2290 0
732824 0 7052 20823 2290 0
732825 0 7052 21050 2291 0
732826 0 7052 21058 2293 0
732827 0 7052 21109 2293 0
732828 0 7052 21128 2293 0
732829 0 7052 21210 2293 0
732830 0 7052 21210 2293 0
732831 0 7052 21210 2293 0
732832 0 7067 21210 2293 0
732833 0 7067 21115 2293 0
732834 0 7084 21565 2293 0
732835 0 7092 21614 2323 0
732836 0 7092 21677 2323 0
732837 0 7092 21677 2323 0
732838 0 7092 21677 2323 0
732839 0 7092 21759 2363 0
732840 0 7137 21882 2363 0
732841 0 7139 21898 2363 0
732842 0 7173 22564 2407 0
732843 0 7175 22587 2407 0
732844 0 7175 22587 2407 0
732845 0 7175 22587 2407 0
732846 0 7175 22605 2407 0
732847 0 7175 23701 2407 0
732848 0 7175 23711 2407 0
732849 0 7175 24293 2407 0
732850 0 7175 24293 2407 0
732851 0 7175 24324 2407 0
732852 0 7175 24324 2407 0
732853 0 7175 24360 2430 0
732854 0 7175 24379 2462 0
732855 0 7175 24448 2462 0
732856 0 7175 24454 2393 0
732857 0 7175 23291 2393 0
732858 0 7175 23291 2396 0
732859 0 7175 23291 2396 0
732860 0 7175 23293 2342 0
732861 0 7175 23293 2342 0
732862 0 7175 23293 2342 0
732863 0 7175 23293 2342 0
732864 0 7175 23293 2342 0
732865 0 7175 23293 2342 0
732866 0 7175 23293 2342 0
732867 0 7175 23293 2342 0
732868 0 7175 23293 2342 0
732869 4154 7887 23863 2572 0
732870 4154 7887 23863 2572 0
732871 4154 7887 23863 2572 0
732872 4154 7887 23863 2572 0
732873 4154 7887 23863 2572 0
732874 4154 7895 23863 2572 0
732875 4154 7884 23902 2572 0
732876 4123 7885 23902 2572 0
732877 4123 7885 23917 2572 0
732878 4123 7902 23917 2572 0
732879 4123 7902 23917 2572 0
732880 4123 7902 23917 2572 0
732881 4123 7902 23968 2572 0
732882 4127 7902 23968 2572 0
732883 4125 7902 23968 2572 0
732884 4125 7902 23968 2572 0
732885 4125 7902 23968 2572 0
732886 4125 7902 23968 2572 0
732887 4125 7902 23968 2572 0
732888 4125 7902 24244 2592 0
732889 4125 7902 24246 2592 0
732890 4125 7902 24305 2611 0
732891 4125 7902 24305 2611 0
732892 4125 7902 24305 2611 0
732893 4125 7902 24305 2611 0
732894 4125 7902 24305 2611 0
732895 4125 7902 24307 2611 0
732896 4125 7902 24362 2611 0
732897 4125 7902 24444 2611 0
732898 4125 7918 24444 2611 0
732899 4125 7918 24080 2706 0
732900 4125 7918 24080 2706 0
732901 4125 7918 24080 2706 0
732902 4125 7918 24511 2758 0
732903 4125 7918 24669 2760 0
732904 4125 7918 24881 2760 0
732905 4125 7918 24710 2760 0
732906 4125 7918 24910 2740 0
732907 4125 7918 24910 2740 0
732908 4125 7918 24910 2740 0
732909 4125 7937 24991 2740 0
732910 4125 7937 25000 2740 0
732911 4125 7937 25001 2740 0
732912 4125 8019 25027 2740 0
732913 4125 8019 25121 2750 0
732914 4125 8019 25121 2750 0
732915 4125 8019 25121 2750 0
732916 4125 8029 25132 2750 0
732917 4125 8029 25139 2750 0
732918 4125 8013 25139 2750 0
732919 4125 8013 25139 2750 0
732920 4125 8066 25239 2750 0
732921 4125 8066 25239 2750 0
732922 4125 8066 25239 2750 0
732923 4125 8066 25243 2750 0
732924 4125 8066 25243 2752 0
732925 4125 8066 25243 2752 0
732926 4125 8066 25277 2752 0
732927 4125 8066 25672 2752 0
732928 4125 8066 25672 2752 0
732929 4125 8066 25672 2752 0
732930 4125 8066 26193 2765 0
732931 4125 8066 26355 2809 0
732932 4125 8066 26443 2809 0
732933 4125 8066 26455 2860 0
732934 4125 8066 26520 2860 0
732935 4125 8066 26520 2860 0
732936 4125 8066 26520 2860 0
732937 4125 8209 26586 2860 0
732938 4125 8209 26735 2913 0
732939 4125 8209 26754 2913 0
732940 4125 8221 26825 2932 0
732941 4125 8221 27114 2932 0
732942 4125 8221 27114 2932 0
732943 4125 8221 27114 2932 0
732944 4125 8221 27126 2936 0
732945 4125 8221 27452 2940 0
732946 4125 8221 27447 2956 0
732947 4125 8221 27594 2956 0
732948 4125 8221 27669 2956 0
732949 4125 8221 27669 2956 0
732950 4125 8221 27669 2956 0
732951 4125 8221 27672 2957 0
732952 4125 8221 27750 3081 0
732953 4125 8221 27771 3088 0
732954 4125 8221 27853 3088 0
732955 4125 8221 27936 3097 0
732956 4125 8221 27936 3097 0
732957 4125 8221 27936 3097 0
732958 4125 8221 27992 3089 0
732959 4125 8281 28208 3087 0
732960 4125 8327 28234 3125 0
732961 4125 8327 28150 3148 0
732962 4125 8327 28150 3148 0
732963 4125 8327 28150 3148 0
732964 4125 8327 28150 3148 0
732965 4125 8327 28180 3145 0
732966 4125 8327 28180 3145 0
732967 4125 8327 27971 3175 0
732968 4125 8327 28279 3174 0
732969 4125 8327 28279 3174 0
732970 4125 8327 28279 3174 0
732971 4125 8327 28279 3174 0
732972 4125 8327 28280 3174 0
732973 4125 8327 28280 3174 0
732974 4125 8327 28301 3187 0
732975 4125 8327 28279 3185 0
732976 4125 8327 28285 3209 0
732977 4125 8327 28285 3209 0
732978 4125 8327 28285 3209 0
732979 4125 8337 28287 3209 0
732980 4125 8337 28288 3209 0
732981 4125 8337 28491 3209 0
732982 4125 8337 28495 3209 0
732983 4125 8337 28496 3208 0
732984 4125 8337 28496 3208 0
732985 4125 8337 28496 3208 0
732986 4125 8337 28639 3208 0
732987 4125 8400 30020 3208 0
732988 4125 8400 30020 3208 0
732989 4125 8400 30020 3230 0
732990 4125 8400 30020 3231 0
732991 4125 8400 30020 3231 0
732992 4125 8400 30020 3231 0
732993 4125 8400 30025 3231 0
732994 6332 8400 30573 3231 0
732995 6332 8400 30577 3231 0
732996 6332 8400 30587 3231 0
732997 6332 8400 30701 3295 0
732998 6332 8400 30713 3295 0
732999 6332 8400 30713 3295 0
733000 6332 8431 30719 3295 0
733001 6332 8431 30719 3295 0
733002 6332 8431 30719 3295 0
733003 6332 8431 30719 3295 0
733004 6332 8431 30831 3295 0
733005 6332 8431 30831 3295 0
733006 6332 8431 30842 3295 0
733007 6332 8431 30864 3295 0
733008 6332 8443 30879 3295 0
733009 6332 8443 30929 3609 0
733010 6332 8443 30940 3609 0
733011 6332 8443 31142 3620 0
733012 6332 8443 31142 3620 0
733013 6332 8443 31142 3620 0
733014 6332 8450 31182 3716 0
733015 6332 8450 31173 3716 0
733016 6332 8450 31944 3793 0
733017 6332 8450 31950 3793 0
733018 6332 8450 31950 3793 0
733019 6332 8450 31950 3793 0
733020 6332 8450 31950 3793 0
733021 6332 8450 31949 3793 0
733022 6332 8493 32056 3810 0
733023 6332 8493 32164 3853 0
733024 6332 8493 32169 3853 0
733025 6332 8493 32209 3853 0
733026 6332 8493 32213 3853 0
733027 6332 8493 32213 3853 0
733028 6332 8493 32243 3852 0
733029 6332 8493 32249 3852 0
733030 6332 8493 32241 3852 0
733031 6332 8493 32241 3852 0
733032 6332 8493 32286 3914 0
733033 6332 8493 32286 3914 0
733034 6332 8493 32286 3914 0
733035 6332 8493 32286 3914 0
733036 6332 8493 32286 3914 0
733037 6332 8493 32286 3914 0
733038 6332 8493 32286 3914 0
733039 6332 8493 32286 3914 0
733040 6332 8493 32286 3914 0
733041 6332 8493 32286 3914 0
733042 6332 8493 32286 3914 0
733043 6332 8493 32286 3914 0
733044 6332 8493 32286 3914 0
733045 6332 8493 32286 3925 0
733046 6332 8493 32286 3925 0
733047 6332 8493 32286 3925 0
733048 6332 8493 32286 3925 0
733049 6332 8493 32375 3949 0
733050 6332 8493 32462 3949 0
733051 6332 8493 32462 3949 0
733052 6332 8493 32462 3949 0
733053 6332 8493 32462 3949 0
733054 6332 8493 32462 3949 0
733055 6332 8493 32462 3949 0
733056 6332 8493 32462 3949 0
733057 6332 8493 32521 4163 0
733058 6332 8493 32544 4272 0
733059 6332 8493 32933 4350 0
733060 6332 8493 33059 4369 0
733061 6332 8493 33059 4369 0
733062 6332 8493 33059 4369 0
733063 6332 8540 32826 4330 0
733064 6332 8540 32747 4357 0
733065 6332 8540 32744 4357 0
733066 6332 8540 32766 4357 0
733067 6332 8551 32939 4395 0
733068 6332 8551 32939 4395 0
733069 6332 8551 32939 4395 0
733070 6332 8559 32876 4379 0
733071 6333 8559 32876 4379 0
733072 6333 8643 33672 4379 0
733073 6333 8643 33800 4379 0
733074 6333 8659 34070 4403 0
733075 6333 8659 34070 4403 0
733076 6333 8659 34070 4403 0
733077 6333 8659 34156 4403 0
733078 6333 8659 34159 4403 0
733079 6333 8659 34214 4403 0
733080 6333 8659 34227 4407 0
733081 6333 8659 34227 4407 0
733082 6333 8659 34227 4407 0
733083 6333 8659 34230 4407 0
733084 6333 8659 34255 4407 0
733085 6333 8659 34329 4407 0
733086 6333 8663 34363 4417 0
733087 6333 8664 34364 4417 0
733088 6333 8664 34374 4417 0
733089 6333 8664 34374 4417 0
733090 6333 8664 34374 4417 0
733091 6333 8664 34374 4417 0
733092 6333 8664 34599 4446 0
733093 7223 8664 34602 4446 0
733094 7223 8664 34618 4442 0
733095 7223 8664 34604 4442 0
733096 7223 8664 34604 4442 0
733097 7223 8664 34604 4442 0
